ID,smiles,BDE,Density,DetoD,DetoP,HOF_S,Td
RNN_1,N=c1[nH]c([N+](=O)[O-])nc2c1nc(C=N[N+](=O)[O-])n2N[N+](=O)[O-],173.3558432093688,1.7719445635374518,7699.156810997356,27.760640726570806,262.07683210019513,138.4193303063797
RNN_2,O=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])n1N[N+](=O)[O-],173.48803928739113,1.9345431602624266,8956.345332236391,36.976265137116656,-41.09996640822064,145.8630392984457
RNN_3,N=c1c2c(nc(N)n1[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2N[N+](=O)[O-],141.72584585264127,1.86270312671357,8156.116834613682,32.307928686678565,120.45971156398403,121.39759902639915
RNN_4,Nc1c([N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],151.24877228176206,1.8846359205753427,8685.361851996506,36.14264970635649,44.140744888801606,116.61808930900982
RNN_5,Nc1c([N+](=O)[O-])nc([N+](=O)[O-])n1N[N+](=O)[O-],150.0740086934964,1.8881473049513415,8888.871720184827,36.255483917924806,193.85324153540452,113.74466388069946
RNN_6,O=c1[nH]c([N+](=O)[O-])nnc1[N+](=O)[O-],229.57758741136945,1.9304677548452034,8403.976039612453,33.48212035874003,-3.3490839868740068,164.21632449468726
RNN_7,N=c1[nH]c([N+](=O)[O-])nc(=O)n1N[N+](=O)[O-],160.77971780041065,1.9040280709737447,8203.362578357981,32.07016479348609,-72.39766721719157,162.75279427506712
RNN_8,NN=c1[nH]c(N)c([N+](=O)[O-])n1N[N+](=O)[O-],245.36216276057962,1.8425431253508346,8352.863065220501,31.5441610570585,192.33467903251804,171.8511075241493
RNN_9,NN=c1[nH]c(N)c([N+](=O)[O-])n1[N+](=O)[O-],243.99308157249274,1.857715114210671,8245.419886156946,30.588664964899735,137.40071340961234,225.7257028691111
RNN_10,Nn1c(=O)n(N[N+](=O)[O-])c(=O)n1[N+](=O)[O-],118.22802436034485,1.937270099503339,8804.249718106437,37.352121680121755,-100.26688238202114,109.83922660933143
RNN_11,Nn1nnc2c(=O)n(N[N+](=O)[O-])c([N+](=O)[O-])nc21,172.24368004240017,1.823845833257178,8267.249628746902,31.160347730847345,249.99822167358533,153.97103967459844
RNN_12,NN=c1[nH]c(N[N+](=O)[O-])c([N+](=O)[O-])n1N[N+](=O)[O-],151.3988362651984,1.8637195648633056,8686.133237057897,35.8346679687415,212.85085448756112,120.77200790268257
RNN_13,NN=c1c2c(nc([N+](=O)[O-])n1N[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2N,155.25192951716463,1.8307043233340061,8158.702868933438,31.401090728253482,174.90816395142477,127.30100752163833
RNN_14,NN1C([N+](=O)[O-])=Nc2c(nc([N+](=O)[O-])[nH]c2=NN[N+](=O)[O-])N1N[N+](=O)[O-],157.55647977393107,1.8611670994090064,8555.560933181134,33.92145893526669,412.62503275265533,141.98478150914943
RNN_15,Nn1c([N+](=O)[O-])nc2c(=N[N+](=O)[O-])[nH]c([N+](=O)[O-])nc21,226.5178324625401,1.8949085799406848,8231.671652365358,33.43782089150328,209.40023291748085,163.2377051198585
RNN_16,O=[N+]([O-])Nn1nc([N+](=O)[O-])n2nc([N+](=O)[O-])nc12,166.14198520607292,1.919865381237443,9249.947822924723,40.50102630762387,447.5584865954314,134.58197403620986
RNN_17,O=C1NC(=C([N+](=O)[O-])[N+](=O)[O-])C(N[N+](=O)[O-])N=C([N+](=O)[O-])N1N[N+](=O)[O-],147.48211213232534,1.8556109444368527,8710.247734301196,34.77559215761177,-9.41852275808239,120.63220775977089
RNN_18,O=C1NN=C1[N+](=O)[O-],266.5143452448565,1.778586479801867,7641.249283001796,26.673064761621372,-38.21182103746082,191.5638070068271
RNN_19,Nn1c([N+](=O)[O-])nc2c(=NN[N+](=O)[O-])n(N[N+](=O)[O-])c([N+](=O)[O-])nc21,200.62253109154864,1.8387223808024267,8528.080832903777,34.23291601025285,407.0358232933131,124.24865172798519
RNN_20,Nn1cn[nH]c(=O)n(N[N+](=O)[O-])c(=O)n([N+](=O)[O-])n(N)cn1,163.2001881577724,1.8000641089364415,7872.110434708694,29.541271948828854,57.96573426866644,172.66017485140807
RNN_21,Nn1c([N+](=O)[O-])nn2c(N[N+](=O)[O-])nc(N[N+](=O)[O-])c2c1=O,141.38050977314253,1.8140871955035358,8207.450767634222,30.650262676637595,237.5301202397208,125.6697461621505
RNN_22,O=c1[nH]c(N[N+](=O)[O-])c([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],119.13765597541007,1.9097120263677128,8315.14642754498,33.65013024056444,-161.3601810034944,123.00634066358627
RNN_23,Nn1nnc2c([N+](=O)[O-])c([N+](=O)[O-])nn21,273.1160598728984,1.8958167763753107,8859.804294341066,36.54320877004801,450.9930706977199,187.71881328290192
RNN_24,O=C1N=Nc2c([N+](=O)[O-])nc([N+](=O)[O-])n21,247.33165676328193,1.8992320302501482,8350.665905963127,32.52038468883782,239.82428844810804,161.48343234972575
RNN_25,O=[N+]([O-])c1nnc2nncn2n1,254.4648969901958,1.7762823665392662,8066.883192571029,30.94623761816304,612.4489778125392,193.68338296258142
RNN_26,NN=c1[nH]c1=NN[N+](=O)[O-],241.86314137550954,1.7870898173444079,7789.0260500827335,27.689957343825263,249.0655163099053,172.14865045751398
RNN_27,O=[N+]([O-])Nn1nc([N+](=O)[O-])c2ncnc([N+](=O)[O-])c21,156.51218822549438,1.8884351180087857,8487.009200633158,33.61098580025265,371.87646061475846,148.44437716671962
RNN_28,NN=C1C(=NN[N+](=O)[O-])NC([N+](=O)[O-])=C1[N+](=O)[O-],157.43532150365246,1.8516374178283064,8500.89716272074,33.77189494369943,227.46169667076842,189.86190129593774
RNN_29,N=c1[nH]c(C=N[N+](=O)[O-])c([N+](=O)[O-])n1N[N+](=O)[O-],156.33798770735092,1.813686730079932,8251.381525753206,31.711522936821545,136.96226592173,123.52499250548988
RNN_30,Nc1c([N+](=O)[O-])nn2c([N+](=O)[O-])nn(N)c12,301.3435605154758,1.8772912466024576,8339.430962909866,31.75907776178234,297.222453201084,265.1435956431674
RNN_31,N=c1c2nc([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])n1[N+](=O)[O-],231.06425659140731,1.894309562914081,8292.789597087929,32.525807442930244,188.67421985754103,181.3799689789899
RNN_32,NN=c1c2c(nc(N)n2N[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],153.79818880606905,1.8224483799319113,8200.300073579872,31.60802336547395,241.03824035222092,123.01593947472358
RNN_33,Nc1nn(N[N+](=O)[O-])c2c([N+](=O)[O-])c(C=N[N+](=O)[O-])nn12,150.27880593543938,1.7863088067326798,8046.721096585305,30.158976503281572,381.5707553824461,141.9551876247357
RNN_34,NN=c1[nH]c([N+](=O)[O-])nc(=O)n1N[N+](=O)[O-],182.56279505236066,1.907871013388912,8452.367797862495,34.07067505204312,40.56509859612558,169.25452437716058
RNN_35,Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c(=O)c21,198.65891103889783,1.9105419879755192,8742.700464565649,35.08725215955924,195.31082789759213,180.67145305702826
RNN_36,Nn1c([N+](=O)[O-])nc2c(=NN[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n(N)c21,213.6164649364749,1.8153316860042772,8157.61565548935,30.345860297777328,175.3588336779189,139.44726669708237
RNN_37,Nc1nn([N+](=O)[O-])c2c([N+](=O)[O-])nn(C=N[N+](=O)[O-])c12,150.6546991056757,1.82240430957429,8128.244525193128,31.292802762726165,349.2256475519937,140.32757175554198
